Label,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
8,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,12,female,master,NJ,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
6,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,13,female,master,AZ,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
7,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,14,female,bachelor,NJ,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
5,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,15,female,bachelor,WA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
6,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,16,female,master,GA,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
8,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,17,female,bachelor,AZ,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
1,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,18,male,master,UT,Mobile Software Engineer,Java/C#/Objective-C/Swift
6,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,19,female,bachelor,TX,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
2,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,20,male,bachelor,WA,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
1,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,21,male,bachelor,GA,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
3,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,22,male,master,GA,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
9,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,23,female,master,NY,Product Engineer,CAD/CAM
1,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,24,female,bachelor,NY,Product Engineer,CAD/CAM
6,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,25,male,master,NY,Mobile Software Engineer,Java/C#/Objective-C/Swift
1,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,26,female,bachelor,GA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
1,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,27,female,master,NY,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
5,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,28,female,bachelor,NJ,Mobile Software Engineer,Java/C#/Objective-C/Swift
6,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,29,female,master,WA,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
2,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,30,female,bachelor,CA,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
0,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,31,female,bachelor,AZ,Mobile Software Engineer,Java/C#/Objective-C/Swift
5,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,32,female,master,UT,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
8,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,33,female,bachelor,CA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
6,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,34,male,master,CA,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
1,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,35,male,bachelor,CA,Product Engineer,CAD/CAM
1,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,36,female,master,WA,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
0,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,37,male,master,UT,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
0,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,38,female,master,TX,Product Engineer,CAD/CAM
4,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,39,female,bachelor,NJ,Mobile Software Engineer,Java/C#/Objective-C/Swift
2,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,40,male,master,NJ,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
2,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,41,male,master,UT,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
